datetime,suhu_sealing_vertical_atas
2023-09-01 06:29:25,198.8
2023-09-01 06:31:14,198.8
2023-09-01 06:36:14,198.8
2023-09-01 06:41:14,198.8
2023-09-01 06:46:14,198.8
2023-09-01 06:51:14,198.8
2023-09-01 06:56:14,198.8
2023-09-01 07:01:14,213.2
2023-09-01 07:06:14,225.0
2023-09-01 07:11:14,229.6
2023-09-01 07:16:14,230.0
2023-09-01 07:32:19,229.0
2023-09-01 07:37:19,229.0
2023-09-01 07:42:19,229.2
2023-09-01 07:47:19,229.6
2023-09-01 07:52:19,228.2
2023-09-01 07:57:19,231.7
2023-09-01 08:02:19,229.8
2023-09-01 08:07:19,226.0
2023-09-01 08:12:20,231.0
2023-09-01 08:17:20,229.6
2023-09-01 08:22:20,229.2
2023-09-01 08:32:19,229.3
2023-09-01 08:37:19,229.3
2023-09-01 08:42:19,229.3
2023-09-01 08:47:19,229.2
2023-09-01 08:52:19,229.5
2023-09-01 08:57:20,229.4
2023-09-01 09:02:19,229.2
2023-09-01 09:07:19,229.2
2023-09-01 09:17:20,229.3
2023-09-01 09:22:19,229.3
2023-09-01 09:27:19,222.8
2023-09-01 09:32:19,230.3
2023-09-01 09:37:19,230.3
2023-09-01 09:42:20,229.9
2023-09-01 09:47:20,229.6
2023-09-01 09:52:20,229.5
2023-09-01 09:57:19,229.4
2023-09-01 10:02:20,229.6
2023-09-01 10:07:20,229.2
2023-09-01 10:12:20,228.8
2023-09-01 10:17:20,229.3
2023-09-01 10:22:20,230.1
2023-09-01 10:27:19,228.2
2023-09-01 10:37:20,229.0
2023-09-01 10:42:20,229.1
2023-09-01 10:47:19,229.3
2023-09-01 10:52:20,229.4
2023-09-01 11:02:10,229.2
2023-09-01 11:07:10,229.1
2023-09-01 11:12:10,226.4
2023-09-01 11:17:11,231.0
2023-09-01 11:22:10,229.3
2023-09-01 11:27:11,223.7
2023-09-01 11:32:10,229.4
2023-09-01 11:37:10,230.2
2023-09-01 11:42:11,229.3
2023-09-01 11:47:10,229.7
2023-09-01 11:52:10,229.4
2023-09-01 11:57:10,229.6
2023-09-01 12:02:10,229.2
2023-09-01 12:07:11,229.4
2023-09-01 12:12:11,229.1
2023-09-01 12:17:11,229.6
2023-09-01 12:22:10,229.3
2023-09-01 12:27:10,229.4
2023-09-01 12:32:10,229.2
2023-09-01 12:37:10,229.4
2023-09-01 12:42:10,229.1
2023-09-01 12:47:10,229.5
2023-09-01 12:52:11,229.0
2023-09-01 12:57:10,229.4
2023-09-01 13:02:11,229.2
2023-09-01 13:07:10,228.7
2023-09-01 13:12:10,229.3
2023-09-01 13:17:10,231.2
2023-09-01 13:22:10,230.8
2023-09-01 13:27:11,228.8
2023-09-01 13:32:10,229.0
2023-09-01 13:37:11,229.1
2023-09-01 13:42:10,229.3
2023-09-01 13:47:10,229.3
2023-09-01 13:52:10,229.1
2023-09-01 13:57:10,229.4
2023-09-01 14:02:10,229.4
2023-09-01 14:07:10,229.1
2023-09-01 14:12:11,229.2
2023-09-01 14:17:10,229.5
2023-09-01 14:22:10,229.4
2023-09-01 14:27:10,229.2
2023-09-01 14:32:10,229.3
2023-09-01 14:37:10,229.3
2023-09-01 14:42:10,229.2
2023-09-01 14:47:10,229.4
2023-09-01 14:52:10,229.2
2023-09-01 14:57:10,229.3
2023-09-01 15:02:10,226.8
2023-09-01 15:07:10,229.3
2023-09-01 15:12:10,229.5
2023-09-01 15:17:10,229.5
2023-09-01 15:22:10,229.4
2023-09-01 15:27:10,229.2
2023-09-01 15:32:10,229.4
2023-09-01 15:37:10,229.4
2023-09-01 15:42:10,229.2
2023-09-04 06:30:15,228.7
2023-09-04 06:32:10,228.7
2023-09-04 06:37:10,228.7
2023-09-04 06:42:10,228.7
2023-09-04 06:47:10,228.7
2023-09-04 06:52:10,197.0
2023-09-04 06:57:10,215.5
2023-09-04 07:02:10,227.0
2023-09-04 07:07:10,229.9
2023-09-04 07:12:10,229.9
2023-09-04 07:17:10,229.8
2023-09-04 07:22:10,229.7
2023-09-04 07:27:10,229.6
2023-09-04 07:32:10,229.4
2023-09-04 07:37:10,229.3
2023-09-04 07:42:10,229.3
2023-09-04 07:47:10,229.5
2023-09-04 07:52:10,229.3
2023-09-04 07:57:10,229.2
2023-09-04 08:02:10,229.4
2023-09-04 08:07:10,229.4
2023-09-04 08:12:10,229.5
2023-09-04 08:17:10,229.4
2023-09-04 08:22:10,229.2
2023-09-04 08:27:10,229.2
2023-09-04 08:32:10,222.5
2023-09-04 08:37:10,230.2
2023-09-04 08:42:10,229.7
2023-09-04 08:47:10,229.6
2023-09-04 08:52:10,229.4
2023-09-04 08:57:10,229.5
2023-09-04 09:02:10,228.9
2023-09-04 09:07:10,229.1
2023-09-04 09:12:10,229.5
2023-09-04 09:17:10,229.2
2023-09-04 09:22:10,229.2
2023-09-04 09:27:10,234.9
2023-09-04 09:32:10,229.8
2023-09-04 09:37:10,228.4
2023-09-04 09:42:10,228.9
2023-09-04 09:47:10,229.0
2023-09-04 09:52:10,231.3
2023-09-04 09:57:10,229.9
2023-09-04 10:02:10,229.0
2023-09-04 10:07:10,229.1
2023-09-04 10:12:10,229.8
2023-09-04 10:17:10,229.3
2023-09-04 10:22:10,229.0
2023-09-04 10:27:10,229.8
2023-09-04 10:32:10,229.5
2023-09-04 10:37:10,229.2
2023-09-04 10:42:10,229.1
2023-09-04 10:47:10,229.4
2023-09-04 10:52:11,229.4
2023-09-04 10:57:10,229.1
2023-09-04 11:02:10,229.5
2023-09-04 11:07:10,229.3
2023-09-04 11:12:10,229.1
2023-09-04 11:17:10,229.4
2023-09-04 11:22:10,229.3
2023-09-04 11:27:10,228.9
2023-09-04 11:32:10,228.2
2023-09-04 11:37:10,230.4
2023-09-04 11:42:42,229.9
2023-09-04 11:47:42,229.6
2023-09-04 11:52:42,229.6
2023-09-04 11:57:42,229.6
2023-09-04 12:02:42,234.9
2023-09-04 12:07:42,228.6
2023-09-04 12:12:42,228.6
2023-09-04 12:17:42,229.0
2023-09-04 12:22:42,229.1
2023-09-04 12:27:42,229.3
2023-09-04 12:32:42,229.4
2023-09-04 12:37:42,229.0
2023-09-04 12:42:42,224.9
2023-09-04 12:47:42,232.9
2023-09-04 12:52:42,229.4
2023-09-04 12:57:42,229.0
2023-09-04 13:02:42,229.6
2023-09-04 13:07:42,229.2
2023-09-04 13:12:42,227.6
2023-09-04 13:17:42,224.7
2023-09-04 13:22:42,230.3
2023-09-04 13:27:42,229.8
2023-09-04 13:32:42,229.2
2023-09-04 13:37:42,229.2
2023-09-04 13:42:42,229.3
2023-09-04 13:47:42,229.2
2023-09-04 13:52:42,229.5
2023-09-04 13:57:42,229.4
2023-09-04 14:02:42,229.6
2023-09-04 14:07:42,229.4
2023-09-04 14:12:42,229.6
2023-09-04 14:17:42,229.0
2023-09-04 14:22:42,229.2
2023-09-04 14:27:42,228.7
2023-09-04 14:32:42,228.9
2023-09-04 14:37:42,228.6
2023-09-04 14:42:42,229.0
2023-09-04 14:47:42,229.3
2023-09-04 14:52:42,229.2
2023-09-04 14:57:42,229.2
2023-09-05 05:58:41,228.98674033149175
2023-09-05 06:02:42,228.985
2023-09-05 06:07:42,228.9832402234637
2023-09-05 06:12:42,228.98202247191014
2023-09-05 06:17:42,228.97909604519776
2023-09-05 06:22:42,195.2
2023-09-05 06:27:42,211.6
2023-09-05 06:32:42,224.4
2023-09-05 06:37:42,229.7
2023-09-05 06:42:42,229.6
2023-09-05 06:47:42,229.7
2023-09-05 06:52:42,229.8
2023-09-05 06:57:42,229.6
2023-09-05 07:02:42,229.2
2023-09-05 07:07:42,229.4
2023-09-05 07:12:42,229.3
2023-09-05 07:17:42,228.2
2023-09-05 07:22:42,228.8
2023-09-05 07:27:42,228.9
2023-09-05 07:32:42,229.1
2023-09-05 07:37:42,228.9
2023-09-05 07:42:42,229.0
2023-09-05 07:47:42,229.3
2023-09-05 07:52:42,229.1
2023-09-05 08:02:42,229.4
2023-09-05 08:07:42,229.6
2023-09-05 08:12:42,229.6
2023-09-05 08:17:42,229.6
2023-09-05 08:22:42,229.2
2023-09-05 08:27:42,229.1
2023-09-05 08:32:42,229.0
2023-09-05 08:37:43,229.1
2023-09-05 08:42:43,229.1
2023-09-05 08:47:43,229.1
2023-09-05 08:52:42,228.9
2023-09-05 08:57:42,229.4
2023-09-05 09:02:43,229.4
2023-09-05 09:07:43,229.4
2023-09-05 09:12:43,229.4
2023-09-05 09:17:43,229.3
2023-09-05 09:22:43,229.1
