datetime,suhu_sealing_vertical_bawah
2023-09-01 06:29:25,209.7
2023-09-01 06:31:14,209.7
2023-09-01 06:36:14,209.7
2023-09-01 06:41:14,209.7
2023-09-01 06:46:14,209.7
2023-09-01 06:51:14,209.7
2023-09-01 06:56:14,209.7
2023-09-01 07:01:14,226.2
2023-09-01 07:06:14,238.0
2023-09-01 07:11:14,240.3
2023-09-01 07:16:14,239.9
2023-09-01 07:32:19,238.5
2023-09-01 07:37:19,239.9
2023-09-01 07:42:19,240.3
2023-09-01 07:47:19,238.6
2023-09-01 07:52:19,237.9
2023-09-01 07:57:19,241.7
2023-09-01 08:02:19,238.3
2023-09-01 08:07:19,240.0
2023-09-01 08:12:20,240.0
2023-09-01 08:17:20,239.3
2023-09-01 08:22:20,239.4
2023-09-01 08:32:19,239.6
2023-09-01 08:37:19,239.1
2023-09-01 08:42:19,239.2
2023-09-01 08:47:19,239.2
2023-09-01 08:52:19,239.4
2023-09-01 08:57:20,239.4
2023-09-01 09:02:19,239.5
2023-09-01 09:07:19,239.3
2023-09-01 09:17:20,239.5
2023-09-01 09:22:19,239.2
2023-09-01 09:27:19,239.1
2023-09-01 09:32:19,239.9
2023-09-01 09:37:19,239.3
2023-09-01 09:42:20,239.2
2023-09-01 09:47:20,239.3
2023-09-01 09:52:20,239.4
2023-09-01 09:57:19,239.3
2023-09-01 10:02:20,239.4
2023-09-01 10:07:20,239.4
2023-09-01 10:12:20,239.1
2023-09-01 10:17:20,239.2
2023-09-01 10:22:20,239.1
2023-09-01 10:27:19,239.3
2023-09-01 10:37:20,239.4
2023-09-01 10:42:20,239.1
2023-09-01 10:47:19,239.1
2023-09-01 10:52:20,239.5
2023-09-01 11:02:10,239.2
2023-09-01 11:07:10,239.0
2023-09-01 11:12:10,240.2
2023-09-01 11:17:11,239.4
2023-09-01 11:22:10,239.0
2023-09-01 11:27:11,237.9
2023-09-01 11:32:10,240.2
2023-09-01 11:37:10,239.7
2023-09-01 11:42:11,239.1
2023-09-01 11:47:10,239.2
2023-09-01 11:52:10,239.6
2023-09-01 11:57:10,239.4
2023-09-01 12:02:10,239.3
2023-09-01 12:07:11,239.3
2023-09-01 12:12:11,239.1
2023-09-01 12:17:11,239.3
2023-09-01 12:22:10,239.4
2023-09-01 12:27:10,239.4
2023-09-01 12:32:10,239.0
2023-09-01 12:37:10,239.2
2023-09-01 12:42:10,239.4
2023-09-01 12:47:10,239.3
2023-09-01 12:52:11,239.2
2023-09-01 12:57:10,239.3
2023-09-01 13:02:11,239.2
2023-09-01 13:07:10,239.3
2023-09-01 13:12:10,239.1
2023-09-01 13:17:10,240.2
2023-09-01 13:22:10,239.2
2023-09-01 13:27:11,239.1
2023-09-01 13:32:10,239.4
2023-09-01 13:37:11,239.5
2023-09-01 13:42:10,239.3
2023-09-01 13:47:10,239.1
2023-09-01 13:52:10,239.3
2023-09-01 13:57:10,239.5
2023-09-01 14:02:10,239.4
2023-09-01 14:07:10,239.1
2023-09-01 14:12:11,239.2
2023-09-01 14:17:10,239.4
2023-09-01 14:22:10,239.5
2023-09-01 14:27:10,239.3
2023-09-01 14:32:10,239.3
2023-09-01 14:37:10,239.2
2023-09-01 14:42:10,239.3
2023-09-01 14:47:10,239.1
2023-09-01 14:52:10,239.2
2023-09-01 14:57:10,239.4
2023-09-01 15:02:10,239.2
2023-09-01 15:07:10,240.0
2023-09-01 15:12:10,239.1
2023-09-01 15:17:10,239.1
2023-09-01 15:22:10,239.3
2023-09-01 15:27:10,239.3
2023-09-01 15:32:10,239.4
2023-09-01 15:37:10,239.2
2023-09-01 15:42:10,239.2
2023-09-04 06:30:15,238.9
2023-09-04 06:32:10,238.9
2023-09-04 06:37:10,238.9
2023-09-04 06:42:10,238.9
2023-09-04 06:47:10,238.9
2023-09-04 06:52:10,193.2
2023-09-04 06:57:10,214.2
2023-09-04 07:02:10,231.2
2023-09-04 07:07:10,239.4
2023-09-04 07:12:10,240.0
2023-09-04 07:17:10,239.7
2023-09-04 07:22:10,239.7
2023-09-04 07:27:10,239.6
2023-09-04 07:32:10,239.4
2023-09-04 07:37:10,239.2
2023-09-04 07:42:10,239.3
2023-09-04 07:47:10,239.5
2023-09-04 07:52:10,239.3
2023-09-04 07:57:10,239.2
2023-09-04 08:02:10,239.4
2023-09-04 08:07:10,239.3
2023-09-04 08:12:10,239.5
2023-09-04 08:17:10,239.3
2023-09-04 08:22:10,239.1
2023-09-04 08:27:10,239.2
2023-09-04 08:32:10,240.2
2023-09-04 08:37:10,239.1
2023-09-04 08:42:10,239.2
2023-09-04 08:47:10,239.3
2023-09-04 08:52:10,239.5
2023-09-04 08:57:10,239.4
2023-09-04 09:02:10,239.2
2023-09-04 09:07:10,239.2
2023-09-04 09:12:10,239.4
2023-09-04 09:17:10,239.3
2023-09-04 09:22:10,239.1
2023-09-04 09:27:10,239.2
2023-09-04 09:32:10,239.4
2023-09-04 09:37:10,238.8
2023-09-04 09:42:10,239.5
2023-09-04 09:47:10,239.1
2023-09-04 09:52:10,240.9
2023-09-04 09:57:10,239.2
2023-09-04 10:02:10,239.0
2023-09-04 10:07:10,239.4
2023-09-04 10:12:10,239.4
2023-09-04 10:17:10,239.3
2023-09-04 10:22:10,239.1
2023-09-04 10:27:10,239.7
2023-09-04 10:32:10,239.5
2023-09-04 10:37:10,239.2
2023-09-04 10:42:10,239.4
2023-09-04 10:47:10,239.4
2023-09-04 10:52:11,239.2
2023-09-04 10:57:10,239.1
2023-09-04 11:02:10,239.7
2023-09-04 11:07:10,239.6
2023-09-04 11:12:10,239.1
2023-09-04 11:17:10,237.8
2023-09-04 11:22:10,240.0
2023-09-04 11:27:10,239.5
2023-09-04 11:32:10,239.4
2023-09-04 11:37:10,239.5
2023-09-04 11:42:42,239.2
2023-09-04 11:47:42,239.1
2023-09-04 11:52:42,239.3
2023-09-04 11:57:42,239.4
2023-09-04 12:02:42,240.5
2023-09-04 12:07:42,238.7
2023-09-04 12:12:42,238.8
2023-09-04 12:17:42,240.1
2023-09-04 12:22:42,239.2
2023-09-04 12:27:42,239.3
2023-09-04 12:32:42,239.4
2023-09-04 12:37:42,239.2
2023-09-04 12:42:42,238.4
2023-09-04 12:47:42,240.0
2023-09-04 12:52:42,239.1
2023-09-04 12:57:42,239.1
2023-09-04 13:02:42,239.3
2023-09-04 13:07:42,239.2
2023-09-04 13:12:42,239.8
2023-09-04 13:17:42,240.0
2023-09-04 13:22:42,238.8
2023-09-04 13:27:42,239.2
2023-09-04 13:32:42,239.4
2023-09-04 13:37:42,239.2
2023-09-04 13:42:42,239.3
2023-09-04 13:47:42,239.1
2023-09-04 13:52:42,239.3
2023-09-04 13:57:42,239.5
2023-09-04 14:02:42,239.3
2023-09-04 14:07:42,239.2
2023-09-04 14:12:42,239.4
2023-09-04 14:17:42,239.5
2023-09-04 14:22:42,239.4
2023-09-04 14:27:42,239.1
2023-09-04 14:32:42,239.2
2023-09-04 14:37:42,239.4
2023-09-04 14:42:42,239.4
2023-09-04 14:47:42,239.0
2023-09-04 14:52:42,239.4
2023-09-04 14:57:42,239.4
2023-09-05 05:58:41,238.88950276243094
2023-09-05 06:02:42,238.88833333333335
2023-09-05 06:07:42,238.88659217877094
2023-09-05 06:12:42,238.88483146067415
2023-09-05 06:17:42,238.8819209039548
2023-09-05 06:22:42,201.2
2023-09-05 06:27:42,220.1
2023-09-05 06:32:42,234.6
2023-09-05 06:37:42,240.2
2023-09-05 06:42:42,240.0
2023-09-05 06:47:42,239.7
2023-09-05 06:52:42,239.6
2023-09-05 06:57:42,239.5
2023-09-05 07:02:42,239.2
2023-09-05 07:07:42,239.3
2023-09-05 07:12:42,239.6
2023-09-05 07:17:42,239.3
2023-09-05 07:22:42,239.8
2023-09-05 07:27:42,239.3
2023-09-05 07:32:42,239.2
2023-09-05 07:37:42,239.2
2023-09-05 07:42:42,239.2
2023-09-05 07:47:42,239.6
2023-09-05 07:52:42,239.3
2023-09-05 08:02:42,239.1
2023-09-05 08:07:42,239.3
2023-09-05 08:12:42,239.7
2023-09-05 08:17:42,239.6
2023-09-05 08:22:42,239.2
2023-09-05 08:27:42,239.2
2023-09-05 08:32:42,239.4
2023-09-05 08:37:43,239.3
2023-09-05 08:42:43,239.2
2023-09-05 08:47:43,239.4
2023-09-05 08:52:42,239.4
2023-09-05 08:57:42,239.1
2023-09-05 09:02:43,239.2
2023-09-05 09:07:43,239.5
2023-09-05 09:12:43,239.3
2023-09-05 09:17:43,239.0
2023-09-05 09:22:43,239.2
2023-09-05 09:27:43,239.4
2023-09-05 09:32:43,239.4
2023-09-05 09:37:43,239.3
2023-09-05 09:42:43,239.1
2023-09-05 09:47:43,239.2
2023-09-05 09:52:43,239.4
2023-09-05 09:57:42,239.6
2023-09-05 10:02:42,239.3
2023-09-05 10:07:42,239.1
2023-09-05 10:12:42,239.3
2023-09-05 10:17:42,239.5
2023-09-05 10:22:42,239.2
2023-09-05 10:27:42,239.2
2023-09-05 10:32:42,239.3
2023-09-05 10:37:42,239.3
2023-09-05 10:42:42,239.3
2023-09-05 10:47:42,239.7
2023-09-05 10:52:42,239.5
2023-09-05 10:57:42,239.4
2023-09-05 11:02:42,239.1
2023-09-05 11:07:42,239.2
2023-09-05 11:12:42,239.4
2023-09-05 11:17:42,239.5
2023-09-05 11:22:42,239.2
2023-09-05 11:27:42,238.8
2023-09-05 11:32:42,239.8
2023-09-05 11:37:43,239.3
2023-09-05 11:42:42,239.3
2023-09-05 11:47:42,239.3
2023-09-05 11:52:42,239.2
2023-09-05 11:57:42,239.6
2023-09-05 12:02:42,239.1
2023-09-05 12:07:42,239.1
2023-09-05 12:12:42,238.7
2023-09-05 12:17:42,239.8
2023-09-05 12:22:42,239.0
2023-09-05 12:27:42,238.4
2023-09-05 12:32:42,239.5
2023-09-05 12:37:42,239.4
2023-09-05 12:42:42,239.1
2023-09-05 12:47:42,239.9
2023-09-05 12:52:42,238.7
2023-09-05 12:57:42,238.7
2023-09-05 13:02:42,239.4
2023-09-05 13:07:42,239.3
2023-09-05 13:12:42,240.0
2023-09-05 13:17:42,239.3
2023-09-05 13:22:42,239.0
2023-09-05 13:27:42,239.1
2023-09-05 13:32:42,239.4
2023-09-05 13:37:42,239.5
2023-09-05 13:42:42,239.2
2023-09-05 13:47:42,239.2
2023-09-05 13:52:42,239.3
2023-09-05 13:57:42,239.9
2023-09-05 14:02:42,239.3
2023-09-05 14:07:42,239.2
2023-09-05 14:12:42,239.2
2023-09-05 14:17:42,239.4
2023-09-05 14:22:42,239.3
2023-09-05 14:27:42,239.2
2023-09-05 14:32:42,239.3
2023-09-05 14:37:42,239.4
2023-09-05 14:42:42,239.2
2023-09-05 14:47:42,239.3
2023-09-07 06:43:14,239.2
2023-09-07 06:46:15,239.5
2023-09-07 06:51:14,239.5
2023-09-07 06:56:14,239.2
2023-09-07 07:01:14,239.2
2023-09-07 07:06:14,239.5
2023-09-07 07:11:15,239.3
2023-09-07 07:16:15,239.2
2023-09-07 07:21:15,240.3
2023-09-07 07:26:15,239.3
2023-09-07 07:31:15,238.7
2023-09-07 07:36:15,239.5
2023-09-07 07:41:15,239.5
2023-09-07 07:46:15,238.7
2023-09-07 07:51:15,239.7
2023-09-07 07:56:15,239.0
2023-09-07 08:01:15,239.4
2023-09-07 08:06:15,239.2
2023-09-07 08:11:15,239.2
2023-09-07 08:16:15,239.4
2023-09-07 08:21:15,239.2
2023-09-07 08:26:15,239.2
2023-09-07 08:31:15,239.4
2023-09-07 08:36:16,239.3
2023-09-07 08:41:15,239.2
2023-09-07 08:46:15,239.3
2023-09-07 08:51:14,237.4
2023-09-07 08:56:15,241.1
2023-09-07 09:01:15,239.1
2023-09-07 09:06:14,239.0
2023-09-07 09:11:15,239.2
2023-09-07 09:16:15,239.5
2023-09-07 09:21:15,239.3
2023-09-07 09:26:15,239.2
2023-09-07 09:31:15,239.4
2023-09-07 09:36:15,239.4
2023-09-07 09:41:15,239.2
2023-09-07 09:46:15,239.4
2023-09-07 09:51:15,239.5
2023-09-07 09:56:15,239.2
2023-09-07 10:01:15,239.0
2023-09-07 10:06:15,239.5
2023-09-07 10:11:15,239.5
2023-09-07 10:16:15,239.2
2023-09-07 10:21:15,239.4
2023-09-07 10:26:15,239.6
2023-09-07 10:31:15,239.3
2023-09-07 10:36:15,239.2
2023-09-07 10:41:15,239.3
2023-09-07 10:46:15,239.4
2023-09-07 10:51:15,239.3
2023-09-07 10:56:15,239.3
2023-09-07 11:01:15,239.2
2023-09-07 11:06:15,239.5
2023-09-07 11:11:15,237.9
2023-09-07 11:16:15,240.0
2023-09-07 11:21:15,238.8
2023-09-07 11:26:15,239.3
2023-09-07 11:31:15,239.4
2023-09-07 11:36:15,239.2
2023-09-07 11:41:15,239.5
2023-09-07 11:46:16,239.4
2023-09-07 11:51:15,239.3
2023-09-07 11:56:15,239.1
2023-09-07 12:01:15,237.8
2023-09-07 12:06:15,240.5
2023-09-07 12:11:15,239.6
2023-09-07 12:16:15,239.3
2023-09-07 12:21:15,239.2
2023-09-07 12:26:15,239.2
2023-09-07 12:31:15,241.0
2023-09-07 12:36:15,239.5
2023-09-07 12:41:15,238.8
2023-09-07 12:46:15,239.1
2023-09-07 12:51:14,239.3
2023-09-07 12:56:15,239.2
2023-09-07 13:01:15,239.3
2023-09-07 13:06:15,240.0
2023-09-07 13:11:15,239.1
2023-09-07 13:18:13,239.3
2023-09-07 13:27:35,239.3
2023-09-07 13:32:35,239.4
2023-09-07 13:37:35,239.6
2023-09-07 13:42:35,239.3
2023-09-07 13:47:35,239.2
2023-09-07 13:52:35,238.6
2023-09-07 13:57:35,240.0
2023-09-07 14:02:35,239.9
2023-09-07 14:07:35,239.3
2023-09-07 14:12:35,239.2
2023-09-07 14:17:35,239.6
2023-09-07 14:22:35,239.3
2023-09-07 14:27:35,239.3
2023-09-07 14:32:35,239.3
2023-09-07 14:37:35,239.3
2023-09-07 14:44:31,239.3
2023-09-07 14:51:01,239.2
2023-09-08 07:05:58,239.5
2023-09-08 07:10:51,238.8
2023-09-08 07:15:50,238.7
2023-09-08 07:20:50,239.4
2023-09-08 07:25:50,239.4
2023-09-08 07:30:50,239.3
2023-09-08 07:35:51,239.2
2023-09-08 07:40:51,239.8
2023-09-08 07:45:50,239.1
2023-09-08 07:50:50,239.7
2023-09-08 07:55:51,239.4
2023-09-08 08:00:51,239.4
2023-09-08 08:05:50,239.4
2023-09-08 08:10:50,239.1
2023-09-08 08:15:50,239.5
2023-09-08 08:20:51,239.4
2023-09-08 08:25:51,239.4
2023-09-08 08:30:50,239.1
2023-09-08 08:35:50,239.2
2023-09-08 08:40:50,239.4
2023-09-08 08:45:50,239.4
2023-09-08 08:50:50,239.2
2023-09-08 08:55:51,239.5
2023-09-08 09:00:51,239.3
2023-09-08 09:05:51,240.8
2023-09-08 09:13:36,239.0
2023-09-08 09:18:36,238.1
2023-09-08 09:23:36,239.9
2023-09-08 09:28:36,239.0
2023-09-08 09:33:36,239.2
2023-09-08 09:38:37,239.4
2023-09-08 09:43:37,239.4
2023-09-08 09:48:36,239.1
2023-09-08 09:53:37,239.2
2023-09-08 10:03:18,239.3
2023-09-08 10:08:18,239.3
2023-09-08 10:13:18,239.3
2023-09-08 10:18:18,239.4
2023-09-08 10:23:18,239.2
2023-09-08 10:28:18,239.2
2023-09-08 10:33:18,239.5
2023-09-08 10:38:18,239.1
2023-09-08 10:43:18,239.3
2023-09-08 10:48:18,239.2
2023-09-08 10:53:18,239.5
2023-09-08 10:59:53,239.4
2023-09-08 11:04:53,239.2
2023-09-08 11:09:53,239.2
2023-09-08 11:14:53,239.3
2023-09-08 11:19:53,239.5
2023-09-08 11:24:53,239.2
2023-09-08 11:29:53,237.4
2023-09-08 11:34:53,240.1
2023-09-08 11:39:53,240.0
2023-09-08 11:44:53,239.3
2023-09-08 11:49:53,239.1
2023-09-08 11:54:53,239.5
2023-09-08 11:59:53,239.4
2023-09-08 12:04:53,239.2
2023-09-08 12:09:53,239.3
2023-09-08 12:14:53,239.4
2023-09-08 12:19:53,239.5
2023-09-08 12:24:53,239.3
2023-09-08 12:29:53,239.2
2023-09-08 12:34:53,239.5
2023-09-08 12:39:53,239.3
2023-09-08 12:44:53,239.1
2023-09-08 12:49:53,239.4
2023-09-08 12:54:53,239.3
2023-09-08 12:59:53,239.3
2023-09-08 13:04:54,239.0
2023-09-08 13:09:53,239.4
2023-09-08 13:14:53,241.1
2023-09-08 13:19:53,239.4
2023-09-08 13:24:53,239.0
2023-09-08 13:30:30,239.0
2023-09-08 13:37:38,239.4
2023-09-08 13:42:38,239.3
2023-09-08 13:47:38,239.2
2023-09-08 13:52:38,239.3
2023-09-08 13:57:38,239.3
2023-09-08 14:07:40,239.3
2023-09-08 14:12:40,239.1
2023-09-08 14:19:24,239.4
2023-09-08 14:29:25,237.8
2023-09-08 14:39:25,240.4
2023-09-11 06:43:34,239.3150537634409
2023-09-11 06:45:06,239.3145945945946
2023-09-11 06:50:07,239.31521739130434
2023-09-11 06:55:06,239.3153005464481
2023-09-11 07:00:06,239.31593406593407
2023-09-11 07:05:06,239.31491712707182
2023-09-11 07:10:06,195.2
2023-09-11 07:15:07,211.6
2023-09-11 07:20:07,224.7
2023-09-11 07:25:07,235.3
2023-09-11 07:30:06,239.7
2023-09-11 07:35:06,239.9
2023-09-11 07:40:07,239.7
2023-09-11 07:45:06,239.7
2023-09-11 07:50:07,239.5
2023-09-11 07:55:06,239.6
2023-09-11 08:00:07,239.4
2023-09-11 08:05:07,240.0
2023-09-11 08:10:06,238.3
2023-09-11 08:15:07,239.1
2023-09-11 08:20:07,239.5
2023-09-11 08:25:07,239.3
2023-09-11 08:30:07,239.0
2023-09-11 08:35:07,239.5
2023-09-11 08:40:07,239.1
2023-09-11 08:45:07,239.2
2023-09-11 08:50:06,239.5
2023-09-11 08:55:06,239.3
2023-09-11 09:00:07,239.2
2023-09-11 09:05:07,239.5
2023-09-11 09:10:07,241.8
2023-09-11 09:15:07,239.0
2023-09-11 09:20:07,239.1
2023-09-11 09:25:07,239.3
2023-09-11 09:30:07,239.3
2023-09-11 09:35:07,239.3
2023-09-11 09:40:07,239.3
2023-09-11 09:45:07,239.2
2023-09-11 09:50:07,239.4
2023-09-11 09:55:07,239.2
2023-09-11 10:00:07,239.2
2023-09-11 10:05:07,239.5
2023-09-11 10:10:07,239.5
2023-09-11 10:15:07,239.1
2023-09-11 10:20:07,239.2
2023-09-11 10:25:07,239.4
2023-09-11 10:30:07,239.4
2023-09-11 10:35:07,239.3
2023-09-11 10:40:07,239.3
2023-09-11 10:45:08,239.2
2023-09-11 10:50:07,239.4
2023-09-11 10:55:07,239.4
2023-09-11 11:00:07,239.3
2023-09-11 11:05:07,239.1
2023-09-11 11:10:07,239.5
2023-09-11 11:15:07,239.3
2023-09-11 11:20:07,237.3
2023-09-11 11:25:07,240.2
2023-09-11 11:30:07,236.5
2023-09-11 11:35:07,240.5
2023-09-11 11:40:07,239.7
2023-09-11 11:48:06,239.1
2023-09-11 11:53:07,239.4
2023-09-11 11:58:06,239.4
2023-09-11 12:03:06,239.0
2023-09-11 12:08:07,238.6
2023-09-11 12:13:07,239.2
2023-09-11 12:18:07,239.4
2023-09-11 12:23:07,239.3
2023-09-11 12:28:07,239.2
2023-09-11 12:33:07,239.4
2023-09-11 12:38:07,239.4
2023-09-11 12:43:06,238.8
2023-09-11 12:48:06,239.5
2023-09-11 12:53:07,239.4
2023-09-11 12:59:48,239.1
2023-09-11 13:04:47,239.4
2023-09-11 13:13:30,239.2
2023-09-11 13:18:30,239.0
2023-09-11 13:23:30,241.1
2023-09-11 13:28:30,238.7
2023-09-11 13:33:30,239.1
2023-09-11 13:38:30,239.2
2023-09-11 13:43:30,239.1
2023-09-11 13:48:30,239.5
2023-09-11 13:56:09,239.4
2023-09-11 14:01:09,239.5
2023-09-11 14:06:09,239.4
2023-09-11 14:11:09,239.2
2023-09-11 14:16:09,239.2
2023-09-11 14:21:09,241.3
2023-09-11 14:26:09,239.0
2023-09-11 14:31:09,239.2
2023-09-11 14:41:34,239.4
2023-09-11 14:46:34,237.8
2023-09-11 14:51:34,240.1
2023-09-11 14:56:34,239.9
2023-09-12 05:46:37,238.81944444444446
2023-09-12 05:51:34,238.8167597765363
2023-09-12 05:56:34,238.8140449438202
2023-09-12 06:01:34,238.81186440677965
2023-09-12 06:06:34,238.80795454545452
2023-09-12 06:11:34,238.80799999999996
2023-09-12 06:16:34,209.9
2023-09-12 06:21:34,224.5
2023-09-12 06:26:34,235.7
2023-09-12 06:31:34,239.7
2023-09-12 06:36:34,240.0
2023-09-12 06:41:34,239.8
2023-09-12 06:46:34,239.7
2023-09-12 06:51:34,239.4
2023-09-12 06:56:34,239.3
2023-09-12 07:01:34,239.4
2023-09-12 07:06:34,239.3
2023-09-12 07:11:34,239.3
2023-09-12 07:16:34,239.2
2023-09-12 07:21:34,239.6
2023-09-12 07:26:34,239.2
2023-09-12 07:31:34,239.2
2023-09-12 07:36:34,239.6
2023-09-12 07:41:34,239.2
2023-09-12 07:46:34,239.2
2023-09-12 07:51:34,239.2
2023-09-12 07:56:34,239.3
2023-09-12 08:01:34,239.4
2023-09-12 08:06:34,239.1
2023-09-12 08:11:34,226.5
2023-09-12 08:16:34,231.4
2023-09-12 08:21:34,239.6
2023-09-12 08:26:34,238.4
2023-09-12 08:32:19,239.0
2023-09-12 08:40:06,239.5
2023-09-12 08:50:06,239.3
2023-09-12 08:55:06,239.5
2023-09-12 09:00:06,239.2
2023-09-12 09:05:06,239.3
2023-09-12 09:10:06,239.1
2023-09-12 09:15:06,238.1
